0.1 437.644 437.644 2 1 0
0.1 437.644 437.644 1 1 0
0.1 437.644 437.644 1 1 0
0.100001 437.644 437.644 1 1 0
0.100001 437.644 437.644 1 1 0
0.100002 437.645 437.645 1 1 0
0.100004 437.646 437.646 1 1 0
0.100006 437.647 437.647 1 1 0
0.100008 437.648 437.648 1 1 0
0.10001 437.65 437.65 1 1 0
0.100012 437.651 437.651 1 1 0
0.100014 437.652 437.652 1 1 0
0.100016 437.653 437.653 1 1 0
0.100017 437.654 437.654 1 1 0
0.100019 437.655 437.655 1 1 0
0.100021 437.656 437.656 1 1 0
0.100023 437.657 437.657 1 1 0
0.100025 437.658 437.658 1 1 0
0.100027 437.659 437.659 1 1 0
0.100029 437.661 437.661 1 1 0
0.100031 437.662 437.662 1 1 0
0.100032 437.663 437.663 1 1 0
0.100034 437.664 437.664 1 1 0
0.100036 437.665 437.665 1 1 0
0.100038 437.666 437.666 1 1 0
0.10004 437.667 437.667 1 1 0
0.100042 437.668 437.668 1 1 0
0.100044 437.669 437.669 1 1 0
0.100046 437.67 437.67 1 1 0
0.100047 437.672 437.672 1 1 0
0.100049 437.673 437.673 1 1 0
0.100051 437.674 437.674 1 1 0
0.100053 437.675 437.675 1 1 0
0.100055 437.676 437.676 1 1 0
0.100057 437.677 437.677 1 1 0
0.100059 437.678 437.678 1 1 0
0.100061 437.679 437.679 1 1 0
0.100062 437.68 437.68 1 1 0
0.100064 437.681 437.681 1 1 0
0.100066 437.683 437.683 1 1 0
0.100068 437.684 437.684 1 1 0
0.10007 437.685 437.685 1 1 0
0.100072 437.686 437.686 1 1 0
0.100074 437.687 437.687 1 1 0
0.100076 437.688 437.688 1 1 0
0.100077 437.689 437.689 1 1 0
0.100079 437.69 437.69 1 1 0
0.100081 437.691 437.691 1 1 0
0.100083 437.692 437.692 1 1 0
0.100085 437.694 437.694 1 1 0
0.100087 437.695 437.695 1 1 0
0.100089 437.696 437.696 1 1 0
0.100091 437.697 437.697 1 1 0
0.100093 437.698 437.698 1 1 0
0.100094 437.699 437.699 1 1 0
0.100096 437.7 437.7 1 1 0
0.100098 437.701 437.701 1 1 0
0.1001 437.702 437.702 1 1 0
0.100102 437.703 437.703 1 1 0
0.100104 437.704 437.704 1 1 0
0.100106 437.706 437.706 1 1 0
0.100108 437.707 437.707 1 1 0
0.100109 437.708 437.708 1 1 0
0.100111 437.709 437.709 1 1 0
0.100113 437.71 437.71 1 1 0
0.100115 437.711 437.711 1 1 0
0.100117 437.712 437.712 1 1 0
0.100119 437.713 437.713 1 1 0
0.100121 437.714 437.714 1 1 0
0.100123 437.715 437.715 1 1 0
0.100124 437.716 437.716 1 1 0
0.100126 437.718 437.718 1 1 0
0.100128 437.719 437.719 1 1 0
0.10013 437.72 437.72 1 1 0
0.100132 437.721 437.721 1 1 0
0.100134 437.722 437.722 1 1 0
0.100136 437.723 437.723 1 1 0
0.100138 437.724 437.724 1 1 0
0.10014 437.725 437.725 1 1 0
0.100141 437.726 437.726 1 1 0
0.100143 437.727 437.727 1 1 0
0.100145 437.728 437.728 1 1 0
0.100147 437.729 437.729 1 1 0
0.100149 437.731 437.731 1 1 0
0.100151 437.732 437.732 1 1 0
0.100153 437.733 437.733 1 1 0
0.100155 437.734 437.734 1 1 0
0.100156 437.735 437.735 1 1 0
0.100158 437.736 437.736 1 1 0
0.10016 437.737 437.737 1 1 0
0.100162 437.738 437.738 1 1 0
0.100164 437.739 437.739 1 1 0
0.100166 437.74 437.74 1 1 0
0.100168 437.741 437.741 1 1 0
0.10017 437.742 437.742 1 1 0
0.100171 437.744 437.744 1 1 0
0.100173 437.745 437.745 1 1 0
0.100175 437.746 437.746 1 1 0
0.100177 437.747 437.747 1 1 0
0.100179 437.748 437.748 1 1 0
0.100181 437.749 437.749 1 1 0
0.100183 437.75 437.75 1 1 0
0.100185 437.751 437.751 1 1 0
0.100187 437.752 437.752 1 1 0
0.100188 437.753 437.753 1 1 0
0.10019 437.754 437.754 1 1 0
0.100192 437.755 437.755 1 1 0
0.100194 437.757 437.757 1 1 0
0.100196 437.758 437.758 1 1 0
0.100198 437.759 437.759 1 1 0
0.1002 437.76 437.76 1 1 0
0.100202 437.761 437.761 1 1 0
0.100203 437.762 437.762 1 1 0
0.100205 437.763 437.763 1 1 0
0.100207 437.764 437.764 1 1 0
0.100209 437.765 437.765 1 1 0
0.100211 437.766 437.766 1 1 0
0.100213 437.767 437.767 1 1 0
0.100215 437.768 437.768 1 1 0
0.100217 437.769 437.769 1 1 0
0.100219 437.771 437.771 1 1 0
0.10022 437.772 437.772 1 1 0
0.100222 437.773 437.773 1 1 0
0.100224 437.774 437.774 1 1 0
0.100226 437.775 437.775 1 1 0
0.100228 437.776 437.776 1 1 0
0.10023 437.777 437.777 1 1 0
0.100232 437.778 437.778 1 1 0
0.100234 437.779 437.779 1 1 0
0.100235 437.78 437.78 1 1 0
0.100237 437.781 437.781 1 1 0
0.100239 437.782 437.782 1 1 0
0.100241 437.783 437.783 1 1 0
0.100243 437.785 437.785 1 1 0
0.100245 437.786 437.786 1 1 0
0.100247 437.787 437.787 1 1 0
0.100249 437.788 437.788 1 1 0
0.100251 437.789 437.789 1 1 0
0.100252 437.79 437.79 1 1 0
0.100254 437.791 437.791 1 1 0
0.100256 437.792 437.792 1 1 0
0.100258 437.793 437.793 1 1 0
0.10026 437.794 437.794 1 1 0
0.100262 437.795 437.795 1 1 0
0.100264 437.796 437.796 1 1 0
0.100266 437.797 437.797 1 1 0
0.100268 437.798 437.798 1 1 0
